<Trait>	GerminationCount	DaystoSilk	DaysToTassel	GDDDaystoSilk	GDDDaystoTassel	GDDAnthesis-SilkingInterval	TasselLength	MainSpikeLength	TasselPrimaryBranches	TasselBranchLength	SecondaryBranchNumber	PlantHeight	EarHeight	LeafLength	LeafWidth	UpperLeafAngle	MiddleLeafAngle	TilleringIndex	NIRStarch	NIRProtein	NIROil	NorthernLeafBlight	CobDiameter	CobWeight	EarDiameter	EarLength	SeedSetLength	EarRowNumber	TotalKernelVolume	EarWeight	EarRankNumber	20KernelWeight	RowQuality
CML323	9	108	105	964.80278	964.80278	0	414	318	8	276	2	120	60	983	63	65	70	NaN	64.57	16.36	5.71	4	25	15	34	153	NaN	12	NaN	40	NaN	2.8	2
CML328	1	NaN	NaN	NaN	NaN	NaN	327	203	19	224	2	150	105	689	91	NaN	NaN	1	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
CML331	1	NaN	NaN	NaN	NaN	NaN	358	261	14	296	2	NaN	NaN	848	95	NaN	NaN	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML332	9	NaN	NaN	NaN	NaN	NaN	456	308	15	338	6	165	95	963	84	75	65	NaN	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
CML333	7	NaN	NaN	NaN	NaN	NaN	269	135	33	176	7	175	110	828	9	75	75	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
CML341	5	NaN	NaN	NaN	NaN	NaN	369	247	8	338	3	195	120	953	103	80	75	NaN	NaN	NaN	NaN	2	32	23.7	37	135	114	14	NaN	40	23	NaN	1
CML38	8	106	104	964.80278	964.80278	0	379	258	16	216	4	165	95	923	105	85	77.5	NaN	60.87	14.99	5.19	2	35	25	37	160	112	16	30	NaN	22	1.9	1
CML45	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1001	99	NaN	NaN	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML5	2	NaN	NaN	NaN	NaN	NaN	399	329	9	336	2	NaN	NaN	1003	78	NaN	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML52	3	NaN	NaN	NaN	NaN	NaN	345	207	18	242	3	200	130	866	105	NaN	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
CML61	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CML69	5	NaN	121	NaN	964.80278	NaN	267	219	11	232	2	155	NaN	980	101	NaN	NaN	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CML77	7	NaN	NaN	NaN	NaN	NaN	367	269	8	238	0	135	60	697	61	60	55	0	NaN	NaN	NaN	2	27	18.3	36	124	NaN	14	30	34	NaN	2.9	1
CML91	5	106	104	964.80278	964.80278	0	389	240	12	278	3	175	75	846	97	80	55	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
CML92	4	NaN	122	NaN	NaN	NaN	277	177	12	212	2	135	NaN	641	73	NaN	NaN	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CMV3	10	80	81	720.831665	736.72111	-15.884445	310.5	254	6	168	0	105	30	595	64	NaN	52.5	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CO106	7	73	73	633.413335	633.413335	0	258	185	10	208	1	105	50	581	80	NaN	NaN	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
CO125	4	80	78	720.831665	691.55278	29.27389	216	211	0	NaN	0	80	10	480	52	NaN	NaN	NaN	NaN	NaN	NaN	7	NaN	NaN	28	65	47	12	NaN	10	9	NaN	2
CO255	12	80	77	720.831665	680.55278	40.27389	196.5	167	2.5	96	0	115	30	451	52	NaN	65	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
D940Y	3	123	120	964.80278	964.80278	0	402	259	11	306	4	155	70	924	108	80	70	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
DE_2	2	94	90	913.634445	870.55278	43.081665	360	268	9	NaN	NaN	NaN	35	722	94	65	67.5	0	NaN	NaN	NaN	4	30	31.9	44	163	159	14	110	107	18	6.3	4
DE_3	7	106	104	964.80278	964.80278	0	287	205	11	208	1	125	60	793	86	70	70	0	63.26	13.32	4.33	3	26	18.4	35	114	111	16	60	46	17	2.6	2
DE1	5	97	94	936.94222	913.634445	23.30278	365.5	294	9.5	190	0	130	55	694	84	65	67.5	0	62.19	14.5	4.43	2	27.5	29.2	42.5	180.5	158.5	14	120	104	22	5.6	1
DE811	3	92	91	896.413335	881.610555	14.80278	345	264.5	4	242	2	170	80	775	79	75	70	NaN	NaN	NaN	NaN	3	25	16.5	46	167	141	16	140	117	28	6.1	2
E2558W	11	NaN	106	NaN	964.80278	NaN	382	278	9	240	0	110	55	769	85	60	70	2	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
EP1	8	77	76	680.55278	671.25	9.30278	244	183	12	120	0	90	20	447	68	NaN	45	1	58.34	18.54	4.74	7	31	13.5	35	139	NaN	14	50	39	NaN	4.2	1
F2834T	6	103	101	964.80278	964.80278	0	397.5	341.5	6	266	1	100	35	761	67	75	67.5	1	NaN	NaN	NaN	3	26	15.2	34	133	NaN	12	40	37	NaN	4.3	3
F44	7	103	98	964.80278	944.110555	20.69222	400.5	241.5	18.5	220	6	185	110	880	77	65	60	NaN	64.93	14.05	3.78	4	NaN	NaN	33	111	70	NaN	NaN	17	11	NaN	1
